group,variable,value
Bangladesh,1,571
Bangladesh,2,552
Bangladesh,3,665
Bangladesh,4,688
Bangladesh,5,786
Bangladesh,6,790
Bangladesh,7,706
Bangladesh,8,709
Bangladesh,9,636
Bangladesh,10,887
Bangladesh,11,1034
Bangladesh,12,969
Bangladesh,13,1162
Bangladesh,14,1041
Bangladesh,15,1202
Bangladesh,16,930
Bangladesh,17,1273
Bangladesh,18,1602
Bangladesh,19,1251
Bangladesh,20,1617
Bangladesh,21,1773
Bangladesh,22,1694
Bangladesh,23,1873
Bangladesh,24,1532
Bangladesh,25,1975
Bangladesh,26,1166
Bangladesh,27,1541
Bangladesh,28,2029
Bangladesh,29,2523
Bangladesh,30,1764
Bangladesh,31,2545
Brazil,1,5015
Brazil,2,4898
Brazil,3,4726
Brazil,4,6794
Brazil,5,6835
Brazil,6,11156
Brazil,7,9162
Brazil,8,11121
Brazil,9,9167
Brazil,10,6638
Brazil,11,6895
Brazil,12,8620
Brazil,13,11923
Brazil,14,13028
Brazil,15,17126
Brazil,16,13220
Brazil,17,7569
Brazil,18,14288
Brazil,19,16517
Brazil,20,19694
Brazil,21,18508
Brazil,22,20803
Brazil,23,16508
Brazil,24,15813
Brazil,25,11687
Brazil,26,16324
Brazil,27,20599
Brazil,28,26417
Brazil,29,26928
Brazil,30,33274
Brazil,31,16409
China,1,1
China,2,0
China,3,5
China,4,1
China,5,2
China,6,2
China,7,1
China,8,1
China,9,14
China,10,17
China,11,1
China,12,7
China,13,3
China,14,4
China,15,8
China,16,6
China,17,7
China,18,9
China,19,0
China,20,0
China,21,0
China,22,8
China,23,3
China,24,11
China,25,7
China,26,1
China,27,2
China,28,0
China,29,4
China,30,2
China,31,16
India,1,2394
India,2,2442
India,3,2806
India,4,3932
India,5,2963
India,6,3587
India,7,3364
India,8,3344
India,9,3113
India,10,4353
India,11,3607
India,12,3524
India,13,3763
India,14,3942
India,15,3787
India,16,4864
India,17,5050
India,18,4630
India,19,6147
India,20,5553
India,21,6198
India,22,6568
India,23,6629
India,24,7113
India,25,6414
India,26,5843
India,27,7293
India,28,7300
India,29,8105
India,30,8336
India,31,8782
Indonesia,1,433
Indonesia,2,292
Indonesia,3,349
Indonesia,4,395
Indonesia,5,484
Indonesia,6,367
Indonesia,7,338
Indonesia,8,336
Indonesia,9,533
Indonesia,10,387
Indonesia,11,233
Indonesia,12,484
Indonesia,13,689
Indonesia,14,568
Indonesia,15,490
Indonesia,16,529
Indonesia,17,489
Indonesia,18,496
Indonesia,19,486
Indonesia,20,693
Indonesia,21,973
Indonesia,22,634
Indonesia,23,949
Indonesia,24,526
Indonesia,25,479
Indonesia,26,415
Indonesia,27,686
Indonesia,28,687
Indonesia,29,678
Indonesia,30,557
Indonesia,31,700
Mexico,1,1515
Mexico,2,1349
Mexico,3,1383
Mexico,4,1434
Mexico,5,1120
Mexico,6,1609
Mexico,7,1982
Mexico,8,1906
Mexico,9,1938
Mexico,10,1562
Mexico,11,1305
Mexico,12,1997
Mexico,13,1862
Mexico,14,2409
Mexico,15,2437
Mexico,16,2112
Mexico,17,2075
Mexico,18,2414
Mexico,19,2713
Mexico,20,2248
Mexico,21,2973
Mexico,22,2960
Mexico,23,3329
Mexico,24,2764
Mexico,25,2485
Mexico,26,3455
Mexico,27,3463
Mexico,28,3377
Mexico,29,3227
Mexico,30,2885
Mexico,31,3152
Nigeria,1,238
Nigeria,2,218
Nigeria,3,170
Nigeria,4,244
Nigeria,5,148
Nigeria,6,195
Nigeria,7,381
Nigeria,8,386
Nigeria,9,239
Nigeria,10,248
Nigeria,11,242
Nigeria,12,146
Nigeria,13,184
Nigeria,14,191
Nigeria,15,288
Nigeria,16,171
Nigeria,17,338
Nigeria,18,216
Nigeria,19,226
Nigeria,20,276
Nigeria,21,339
Nigeria,22,245
Nigeria,23,265
Nigeria,24,313
Nigeria,25,229
Nigeria,26,276
Nigeria,27,389
Nigeria,28,182
Nigeria,29,387
Nigeria,30,553
Nigeria,31,307
Pakistan,1,989
Pakistan,2,981
Pakistan,3,857
Pakistan,4,1108
Pakistan,5,2024
Pakistan,6,571
Pakistan,7,1791
Pakistan,8,2301
Pakistan,9,1598
Pakistan,10,1747
Pakistan,11,2255
Pakistan,12,962
Pakistan,13,490
Pakistan,14,3011
Pakistan,15,0
Pakistan,16,1352
Pakistan,17,1974
Pakistan,18,1841
Pakistan,19,1932
Pakistan,20,2193
Pakistan,21,2603
Pakistan,22,1743
Pakistan,23,2164
Pakistan,24,1748
Pakistan,25,1356
Pakistan,26,1446
Pakistan,27,2076
Pakistan,28,2801
Pakistan,29,2429
Pakistan,30,3039
Pakistan,31,2964
Russia,1,7933
Russia,2,9623
Russia,3,10633
Russia,4,10581
Russia,5,10102
Russia,6,10559
Russia,7,11231
Russia,8,10699
Russia,9,10817
Russia,10,11012
Russia,11,11656
Russia,12,10899
Russia,13,10028
Russia,14,9974
Russia,15,10598
Russia,16,9200
Russia,17,9709
Russia,18,8926
Russia,19,9263
Russia,20,8764
Russia,21,8849
Russia,22,8894
Russia,23,9434
Russia,24,8599
Russia,25,8946
Russia,26,8915
Russia,27,8338
Russia,28,8371
Russia,29,8572
Russia,30,8952
Russia,31,9268
USA,1,34907
USA,2,27348
USA,3,24321
USA,4,24068
USA,5,24528
USA,6,24569
USA,7,27429
USA,8,26830
USA,9,25176
USA,10,18805
USA,11,19298
USA,12,22927
USA,13,20433
USA,14,26817
USA,15,24733
USA,16,24135
USA,17,18388
USA,18,22389
USA,19,20979
USA,20,22725
USA,21,25769
USA,22,23649
USA,23,21099
USA,24,20077
USA,25,18662
USA,26,19663
USA,27,18551
USA,28,22320
USA,29,24478
USA,30,23632
USA,31,18983
